TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
264;K;<45-54>;75,26035539
2474;K;<45-54>;9,020834023
3064;K;<45-54>;70,34949771
3062;K;<45-54>;7,534434917
2604;K;<55-64>;27,57610413
605;K;<55-64>;5,740761146
1820;K;<55-64>;8,522641605
611;K;<55-64>;15,89228179
406;K;<55-64>;5,72363581
602;K;<55-64>;14,57471763
801;K;<55-64>;9,775050999
603;K;<55-64>;11,58721801
1423;K;<55-64>;6,111727821
2813;K;<55-64>;4,931144332
1429;K;<55-64>;8,131034727
1410;K;<55-64>;4,811033615
1411;K;<55-64>;6,317426766
1602;K;<55-64>;7,629334771
1611;K;<55-64>;11,23201508
206;K;<55-64>;8,60064947
3008;K;<55-64>;8,826987632
404;K;<55-64>;7,437683904
203;K;<55-64>;13,31912756
1419;K;<55-64>;16,47035811
1424;K;<55-64>;7,602576163
2606;K;<55-64>;6,955222857
1606;K;<55-64>;6,707039494
2802;K;<55-64>;5,768841066
2213;K;<55-64>;18,21163777
1422;K;<55-64>;8,011933845
805;K;<55-64>;7,082222369
2204;K;<55-64>;14,77627308
414;K;<55-64>;14,51204384
1821;K;<55-64>;4,040049728
606;K;<55-64>;10,27882628
224;K;<55-64>;8,880581266
202;K;<55-64>;15,26582653
806;K;<55-64>;7,051291567
1432;K;<55-64>;17,86388966
205;K;<55-64>;8,009130344
3204;K;<55-64>;12,59032991
2470;K;<55-64>;12,77375987
2468;K;<55-64>;15,22071958
1405;K;<55-64>;14,16771248
861;K;<55-64>;21,43076922
2465;K;<55-64>;30,54777583
662;K;<55-64>;12,88065323
264;K;<55-64>;112,8984353
2474;K;<55-64>;13,33260032
3064;K;<55-64>;104,4131345
3062;K;<55-64>;15,38676945
2604;K;<65-74>;15,9781963
605;K;<65-74>;4,521237009
1820;K;<65-74>;4,454579471
611;K;<65-74>;9,359853076
406;K;<65-74>;3,238780361
602;K;<65-74>;8,634464602
801;K;<65-74>;6,312455077
603;K;<65-74>;7,156619516
1423;K;<65-74>;3,671152801
2813;K;<65-74>;2,53035587
1429;K;<65-74>;5,254537971
1410;K;<65-74>;0
1411;K;<65-74>;3,891634844
1602;K;<65-74>;3,963218968
1611;K;<65-74>;6,667720346
206;K;<65-74>;4,64481402
3008;K;<65-74>;4,644886648
404;K;<65-74>;4,854214607
203;K;<65-74>;6,796269842
1419;K;<65-74>;9,805101517
1424;K;<65-74>;4,28174041
2606;K;<65-74>;4,152099613
1606;K;<65-74>;3,881366034
2802;K;<65-74>;3,005293353
2213;K;<65-74>;11,16570135
1422;K;<65-74>;5,076050922
805;K;<65-74>;4,219898662
2204;K;<65-74>;8,459548643
414;K;<65-74>;8,193838649
1821;K;<65-74>;0
606;K;<65-74>;6,660206912
224;K;<65-74>;5,812585353
202;K;<65-74>;8,578510503
806;K;<65-74>;4,236876991
1432;K;<65-74>;10,43913123
205;K;<65-74>;4,209879251
3204;K;<65-74>;7,649051576
2470;K;<65-74>;9,677960504
2468;K;<65-74>;9,421177039
1405;K;<65-74>;9,166943001
861;K;<65-74>;13,55643285
2465;K;<65-74>;23,05554227
662;K;<65-74>;10,29653813
264;K;<65-74>;73,30087645
2474;K;<65-74>;9,720828145
3064;K;<65-74>;69,96136333
3062;K;<65-74>;11,45122726
2604;K;<75-84>;10,29945548
605;K;<75-84>;2,437861075
1820;K;<75-84>;2,654841743
611;K;<75-84>;5,736445982
406;K;<75-84>;1,949882852
602;K;<75-84>;5,316766007
801;K;<75-84>;4,099367554
603;K;<75-84>;4,750302163
1423;K;<75-84>;2,131182778
2813;K;<75-84>;1,546734956
1429;K;<75-84>;3,420869978
1410;K;<75-84>;1,804571301
1411;K;<75-84>;2,99513367
1602;K;<75-84>;3,426529339
1611;K;<75-84>;4,41018616
206;K;<75-84>;3,611483635
3008;K;<75-84>;3,316771755
404;K;<75-84>;3,083409672
203;K;<75-84>;4,444691463
1419;K;<75-84>;6,504323507
1424;K;<75-84>;2,538340853
2606;K;<75-84>;2,821254229
1606;K;<75-84>;2,497129467
2802;K;<75-84>;1,841858791
2213;K;<75-84>;6,750135088
1422;K;<75-84>;2,588735746
805;K;<75-84>;2,565154409
2204;K;<75-84>;5,912986482
414;K;<75-84>;5,030610821
1821;K;<75-84>;1,391465199
606;K;<75-84>;3,63564636
224;K;<75-84>;3,503153887
202;K;<75-84>;6,583526501
806;K;<75-84>;3,055265236
1432;K;<75-84>;6,129471736
205;K;<75-84>;2,44695953
3204;K;<75-84>;4,447501605
2470;K;<75-84>;5,344944036
2468;K;<75-84>;5,457747815
1405;K;<75-84>;6,18690374
861;K;<75-84>;9,835591518
2465;K;<75-84>;9,536748408
662;K;<75-84>;5,503194457
264;K;<75-84>;52,5077118
2474;K;<75-84>;5,854230376
3064;K;<75-84>;47,79999176
3062;K;<75-84>;6,25888925
1806;K;<0-44>;2,892210905
2012;K;<0-44>;2,379311409
1415;K;<0-44>;3,819420849
1207;K;<0-44>;5,104574266
2007;K;<0-44>;2,731275629
1815;K;<0-44>;3,583883681
412;K;<0-44>;2,66070573
1816;K;<0-44>;8,565571834
1210;K;<0-44>;9,126635425
2006;K;<0-44>;2,215022042
1819;K;<0-44>;2,697153103
1204;K;<0-44>;3,36992401
618;K;<0-44>;3,544467524
1216;K;<0-44>;9,166541589
1812;K;<0-44>;0
1813;K;<0-44>;4,045660313
1409;K;<0-44>;1,998619282
1211;K;<0-44>;8,86416347
2608;K;<0-44>;2,035072965
1202;K;<0-44>;5,092508896
217;K;<0-44>;1,923950288
1214;K;<0-44>;2,848841765
1425;K;<0-44>;7,683939197
2013;K;<0-44>;3,067080801
2417;K;<0-44>;7,003412909
1401;K;<0-44>;1,415130038
608;K;<0-44>;3,447022444
1426;K;<0-44>;0
609;K;<0-44>;7,193435582
1803;K;<0-44>;6,996246234
1205;K;<0-44>;5,954394835
218;K;<0-44>;0
1811;K;<0-44>;7,000563867
1817;K;<0-44>;3,558089365
1209;K;<0-44>;7,860443195
1804;K;<0-44>;5,331705655
416;K;<0-44>;3,565601886
616;K;<0-44>;2,848642951
1416;K;<0-44>;3,794091562
3007;K;<0-44>;5,246812651
1217;K;<0-44>;3,360002531
2014;K;<0-44>;2,470204175
1403;K;<0-44>;5,54694677
1218;K;<0-44>;6,988851099
2205;K;<0-44>;7,490828658
1007;K;<0-44>;4,01640756
2201;K;<0-44>;5,212522385
408;K;<0-44>;3,193916009
2216;K;<0-44>;2,085409461
1808;K;<0-44>;3,445488182
3016;K;<0-44>;3,531889523
2805;K;<0-44>;4,900849177
2008;K;<0-44>;0
615;K;<0-44>;3,691186134
2002;K;<0-44>;7,438306237
1801;K;<0-44>;1,409511957
601;K;<0-44>;4,340315299
2603;K;<0-44>;0
812;K;<0-44>;1,842216041
2414;K;<0-44>;3,727561488
2613;K;<0-44>;2,792999855
204;K;<0-44>;1,999206274
1436;K;<0-44>;1,603693396
1810;K;<0-44>;4,268394998
1609;K;<0-44>;7,391812706
1608;K;<0-44>;2,786974803
2011;K;<0-44>;4,367003555
1802;K;<0-44>;3,795156921
1435;K;<0-44>;3,886563235
1201;K;<0-44>;5,947148274
415;K;<0-44>;5,49121074
1437;K;<0-44>;1,878180761
2210;K;<0-44>;1,819332999
3209;K;<0-44>;4,381924741
2402;K;<0-44>;9,235336833
2819;K;<0-44>;1,721784268
3018;K;<0-44>;2,628951706
405;K;<0-44>;2,403774142
2818;K;<0-44>;0
223;K;<0-44>;7,066458102
2612;K;<0-44>;4,50014705
1809;K;<0-44>;2,512000761
2801;K;<0-44>;3,293538703
1015;K;<0-44>;1,845438566
1219;K;<0-44>;5,843683
2010;K;<0-44>;2,680116318
1010;K;<0-44>;3,953817532
613;K;<0-44>;0
2004;K;<0-44>;2,576927416
2410;K;<0-44>;5,971809776
3205;K;<0-44>;3,142136135
1434;K;<0-44>;12,98475908
620;K;<0-44>;5,324483746
212;K;<0-44>;2,373652191
1433;K;<0-44>;2,932373593
2062;K;<0-44>;3,382642938
1814;K;<0-44>;3,692825576
2411;K;<0-44>;4,948501396
1206;K;<0-44>;14,83004138
3021;K;<0-44>;20,3659259
2817;K;<0-44>;4,863607041
418;K;<0-44>;3,611846605
210;K;<0-44>;2,964458289
2003;K;<0-44>;3,095424067
1607;K;<0-44>;7,743619344
3027;K;<0-44>;5,188849877
1215;K;<0-44>;4,242323231
610;K;<0-44>;2,296634044
2212;K;<0-44>;4,934015922
1601;K;<0-44>;4,936526137
1013;K;<0-44>;2,051354827
811;K;<0-44>;5,428230573
607;K;<0-44>;4,593620163
2809;K;<0-44>;2,264473252
216;K;<0-44>;3,450166686
3010;K;<0-44>;6,088525392
417;K;<0-44>;0
1430;K;<0-44>;2,781693115
2403;K;<0-44>;9,511727361
612;K;<0-44>;3,317712393
2408;K;<0-44>;5,502180817
403;K;<0-44>;6,12435862
2214;K;<0-44>;6,406792846
1005;K;<0-44>;3,797708531
2814;K;<0-44>;6,896163756
1805;K;<0-44>;5,482894062
3029;K;<0-44>;3,355882275
2601;K;<0-44>;3,89126041
2001;K;<0-44>;3,847651715
1807;K;<0-44>;6,015959323
2804;K;<0-44>;3,382891356
3013;K;<0-44>;4,037559399
619;K;<0-44>;3,040544905
2812;K;<0-44>;2,952780715
807;K;<0-44>;2,055245624
3031;K;<0-44>;4,42439872
1404;K;<0-44>;2,57288062
3006;K;<0-44>;4,201358512
3015;K;<0-44>;4,131868048
222;K;<0-44>;2,598014744
1461;K;<0-44>;0
1438;K;<0-44>;0
209;K;<0-44>;3,86227002
3217;K;<0-44>;3,761196749
2404;K;<0-44>;7,510541324
2807;K;<0-44>;3,917439515
1418;K;<0-44>;11,16395297
1412;K;<0-44>;8,356394068
215;K;<0-44>;3,732789617
214;K;<0-44>;6,082335371
1861;K;<0-44>;2,252010819
1402;K;<0-44>;4,853247492
2605;K;<0-44>;4,469649998
2208;K;<0-44>;3,549022635
2602;K;<0-44>;4,648100295
1021;K;<0-44>;1,546405232
411;K;<0-44>;2,391073157
1009;K;<0-44>;2,839184273
661;K;<0-44>;3,550352231
2607;K;<0-44>;6,602787166
2207;K;<0-44>;5,193604408
2816;K;<0-44>;3,589742921
2479;K;<0-44>;3,498084399
2810;K;<0-44>;2,634196903
1018;K;<0-44>;2,642244968
1001;K;<0-44>;6,617835819
1407;K;<0-44>;3,540286897
1604;K;<0-44>;0
1006;K;<0-44>;2,911689811
1605;K;<0-44>;0
3022;K;<0-44>;3,398623469
2009;K;<0-44>;0
1864;K;<0-44>;2,585707005
1408;K;<0-44>;6,486659889
1818;K;<0-44>;5,619538843
220;K;<0-44>;4,122685097
410;K;<0-44>;4,735815988
804;K;<0-44>;5,555180523
2415;K;<0-44>;8,009644286
3212;K;<0-44>;2,495137937
1213;K;<0-44>;8,579406444
1863;K;<0-44>;10,77928881
2478;K;<0-44>;7,264822778
2202;K;<0-44>;5,213034721
409;K;<0-44>;2,830538648
1262;K;<0-44>;3,769025689
3214;K;<0-44>;7,234009244
413;K;<0-44>;3,509778929
226;K;<0-44>;0
213;K;<0-44>;2,236798161
3218;K;<0-44>;2,27603307
3030;K;<0-44>;4,376706931
402;K;<0-44>;5,210777666
3213;K;<0-44>;3,010845742
1420;K;<0-44>;5,016884169
862;K;<0-44>;7,852552972
1016;K;<0-44>;6,54226813
208;K;<0-44>;9,785397502
2215;K;<0-44>;11,78219239
3211;K;<0-44>;4,354937909
1014;K;<0-44>;6,451274731
3020;K;<0-44>;4,444060338
3203;K;<0-44>;3,906590015
3012;K;<0-44>;4,133807373
664;K;<0-44>;4,475570782
1414;K;<0-44>;4,60820566
1203;K;<0-44>;5,689124756
1417;K;<0-44>;5,894015364
3005;K;<0-44>;3,621375109
2413;K;<0-44>;7,981110158
2407;K;<0-44>;4,235746487
2005;K;<0-44>;3,9832731
2609;K;<0-44>;4,537660175
1610;K;<0-44>;3,545956272
3206;K;<0-44>;4,890645101
3025;K;<0-44>;3,430798055
211;K;<0-44>;6,789760972
201;K;<0-44>;6,279335774
2803;K;<0-44>;3,337231215
3202;K;<0-44>;2,596859573
1406;K;<0-44>;5,392643782
3028;K;<0-44>;3,384069997
3009;K;<0-44>;3,68219949
1212;K;<0-44>;6,272523099
810;K;<0-44>;4,465022432
2203;K;<0-44>;3,892887283
3061;K;<0-44>;4,315149747
3024;K;<0-44>;5,336370198
614;K;<0-44>;5,835695584
2406;K;<0-44>;4,450452489
1427;K;<0-44>;2,35675585
3216;K;<0-44>;2,812718664
2472;K;<0-44>;8,097267425
1413;K;<0-44>;3,354520667
802;K;<0-44>;3,903824726
3023;K;<0-44>;3,83474606
2815;K;<0-44>;6,295872412
3017;K;<0-44>;9,269580253
3019;K;<0-44>;9,023743671
2412;K;<0-44>;4,388029658
2808;K;<0-44>;3,866716197
219;K;<0-44>;8,854988081
3207;K;<0-44>;2,508895843
3011;K;<0-44>;5,035881602
2061;K;<0-44>;18,55569334
3002;K;<0-44>;5,257984629
1208;K;<0-44>;2,732795998
1063;K;<0-44>;2,255408213
2263;K;<0-44>;5,048897272
1008;K;<0-44>;6,697914965
604;K;<0-44>;3,180250607
3004;K;<0-44>;4,277811788
3208;K;<0-44>;3,633721477
1464;K;<0-44>;5,284567607
3026;K;<0-44>;4,989103229
1012;K;<0-44>;6,543594137
617;K;<0-44>;4,35590829
2211;K;<0-44>;4,497994144
2861;K;<0-44>;7,020285198
1661;K;<0-44>;5,575361364
1421;K;<0-44>;8,455255747
808;K;<0-44>;3,146662245
3001;K;<0-44>;2,387528583
1020;K;<0-44>;9,542520305
3201;K;<0-44>;3,383119234
2611;K;<0-44>;5,288733426
3014;K;<0-44>;2,170457126
1003;K;<0-44>;2,293581437
2477;K;<0-44>;6,996905941
3003;K;<0-44>;9,064660667
1463;K;<0-44>;12,70072658
2462;K;<0-44>;11,3731407
1017;K;<0-44>;3,918201673
1011;K;<0-44>;2,89531575
407;K;<0-44>;10,42476491
2405;K;<0-44>;9,799752833
809;K;<0-44>;3,987124362
462;K;<0-44>;6,209069874
2209;K;<0-44>;3,537696429
1603;K;<0-44>;5,302664397
2661;K;<0-44>;10,21616949
2206;K;<0-44>;4,031480854
2811;K;<0-44>;0
3210;K;<0-44>;3,624381048
225;K;<0-44>;5,707872036
1428;K;<0-44>;5,210034015
2063;K;<0-44>;6,253133767
419;K;<0-44>;5,354638467
2467;K;<0-44>;5,686084163
3063;K;<0-44>;4,119815823
2806;K;<0-44>;3,678267116
1002;K;<0-44>;5,473740735
1004;K;<0-44>;3,257147615
2476;K;<0-44>;3,047502782
2401;K;<0-44>;8,409228095
803;K;<0-44>;3,355817428
3215;K;<0-44>;4,82083451
2409;K;<0-44>;4,432602942
2416;K;<0-44>;6,865631068
2461;K;<0-44>;11,7440924
1862;K;<0-44>;3,825523506
2463;K;<0-44>;6,399584482
1019;K;<0-44>;3,714419849
663;K;<0-44>;19,98140293
2471;K;<0-44>;3,190481207
463;K;<0-44>;13,13051829
3261;K;<0-44>;7,726465737
2610;K;<0-44>;4,657378104
1062;K;<0-44>;4,254698061
401;K;<0-44>;3,631197531
262;K;<0-44>;5,78970692
1263;K;<0-44>;7,127643621
2469;K;<0-44>;17,65268533
2466;K;<0-44>;11,08523849
1261;K;<0-44>;52,0190915
2473;K;<0-44>;10,35282411
2262;K;<0-44>;16,40430109
461;K;<0-44>;21,90619041
2862;K;<0-44>;12,38981456
261;K;<0-44>;3,903129475
3262;K;<0-44>;26,11779309
2261;K;<0-44>;28,75202797
207;K;<0-44>;3,167214932
464;K;<0-44>;7,689622339
1465;K;<0-44>;106,2057074
1462;K;<0-44>;9,567573291
221;K;<0-44>;10,47736333
3263;K;<0-44>;2,170765675
2464;K;<0-44>;15,75695178
1061;K;<0-44>;41,39629589
2475;K;<0-44>;13,15668479
2264;K;<0-44>;0
1806;K;<45-54>;4,283226646
2012;K;<45-54>;3,21525167
1415;K;<45-54>;6,554873765
1207;K;<45-54>;9,273592407
2007;K;<45-54>;4,477633699
1815;K;<45-54>;6,611150102
412;K;<45-54>;2,939562468
1816;K;<45-54>;13,3580985
1210;K;<45-54>;15,40399761
2006;K;<45-54>;3,175139315
1819;K;<45-54>;4,646413012
1204;K;<45-54>;3,880263309
618;K;<45-54>;6,560818165
1216;K;<45-54>;16,97078138
1812;K;<45-54>;5,825151483
1813;K;<45-54>;4,589376518
1409;K;<45-54>;2,569522489
1211;K;<45-54>;16,18078915
2608;K;<45-54>;3,856090416
1202;K;<45-54>;7,57246299
217;K;<45-54>;4,50221381
1214;K;<45-54>;3,940629427
1425;K;<45-54>;11,38920259
2013;K;<45-54>;4,595461266
2417;K;<45-54>;12,64993135
1401;K;<45-54>;2,471056463
608;K;<45-54>;6,870907273
1426;K;<45-54>;6,193385863
609;K;<45-54>;15,58271215
1803;K;<45-54>;10,26771776
1205;K;<45-54>;11,78523219
218;K;<45-54>;5,444195342
1811;K;<45-54>;11,85338853
1817;K;<45-54>;6,941654219
1209;K;<45-54>;11,69243631
1804;K;<45-54>;9,121407327
416;K;<45-54>;4,337951179
616;K;<45-54>;6,182852771
1416;K;<45-54>;7,100458192
3007;K;<45-54>;8,362886399
1217;K;<45-54>;3,976085031
2014;K;<45-54>;3,790120607
1403;K;<45-54>;10,96619726
1218;K;<45-54>;14,32239662
2205;K;<45-54>;9,748174434
1007;K;<45-54>;6,747148478
2201;K;<45-54>;6,634810582
408;K;<45-54>;6,19731999
2216;K;<45-54>;3,827889335
1808;K;<45-54>;7,07245161
3016;K;<45-54>;6,706304768
2805;K;<45-54>;7,121132557
2008;K;<45-54>;4,035818808
615;K;<45-54>;6,064163745
2002;K;<45-54>;12,14737685
1801;K;<45-54>;1,935680855
601;K;<45-54>;9,030794831
2603;K;<45-54>;3,221382946
812;K;<45-54>;3,744259323
2414;K;<45-54>;4,660415833
2613;K;<45-54>;4,623206847
204;K;<45-54>;2,80608739
1436;K;<45-54>;2,386443575
1810;K;<45-54>;8,008608572
1609;K;<45-54>;12,94057999
1608;K;<45-54>;5,147583967
2011;K;<45-54>;5,835409158
1802;K;<45-54>;6,506101652
1435;K;<45-54>;6,653370648
1201;K;<45-54>;9,630533918
415;K;<45-54>;10,43389017
1437;K;<45-54>;3,525731835
2210;K;<45-54>;2,824837489
3209;K;<45-54>;7,454770973
2402;K;<45-54>;13,72408969
2819;K;<45-54>;2,537568309
3018;K;<45-54>;5,13710905
405;K;<45-54>;4,34760198
2818;K;<45-54>;3,172121183
223;K;<45-54>;14,71018429
2612;K;<45-54>;7,238467016
1809;K;<45-54>;4,768558986
2801;K;<45-54>;6,321242082
1015;K;<45-54>;3,201393474
1219;K;<45-54>;11,94570054
2010;K;<45-54>;4,332075628
1010;K;<45-54>;8,102354208
613;K;<45-54>;3,618780896
2004;K;<45-54>;5,169395944
2410;K;<45-54>;10,94648671
3205;K;<45-54>;4,779634366
1434;K;<45-54>;23,55982294
620;K;<45-54>;8,617890847
212;K;<45-54>;4,338096985
1433;K;<45-54>;4,712310953
2062;K;<45-54>;7,340685511
1814;K;<45-54>;6,765079261
2411;K;<45-54>;10,75923251
1206;K;<45-54>;32,28695144
3021;K;<45-54>;35,78176148
2817;K;<45-54>;6,897848655
418;K;<45-54>;8,078372129
210;K;<45-54>;6,106646811
2003;K;<45-54>;4,493934642
1607;K;<45-54>;13,26247745
3027;K;<45-54>;8,357341731
1215;K;<45-54>;7,218222591
610;K;<45-54>;6,466558133
2212;K;<45-54>;9,168329192
1601;K;<45-54>;9,733895648
1013;K;<45-54>;3,756097383
811;K;<45-54>;11,74891506
607;K;<45-54>;9,91356814
2809;K;<45-54>;4,396314225
216;K;<45-54>;6,733634325
3010;K;<45-54>;13,14874569
417;K;<45-54>;2,866871744
1430;K;<45-54>;3,500652909
2403;K;<45-54>;18,63513121
612;K;<45-54>;6,646501831
2408;K;<45-54>;8,02265505
403;K;<45-54>;11,29285851
2214;K;<45-54>;9,209936954
1005;K;<45-54>;8,03439584
2814;K;<45-54>;12,40804286
1805;K;<45-54>;12,16307864
3029;K;<45-54>;6,023727715
2601;K;<45-54>;8,208449609
2001;K;<45-54>;4,652585695
1807;K;<45-54>;9,611058714
2804;K;<45-54>;6,245109661
3013;K;<45-54>;5,662777315
619;K;<45-54>;4,146374181
2812;K;<45-54>;4,622734624
807;K;<45-54>;3,505113276
3031;K;<45-54>;5,661009631
1404;K;<45-54>;0
3006;K;<45-54>;5,856348693
3015;K;<45-54>;8,455115976
222;K;<45-54>;5,230239903
1461;K;<45-54>;0
1438;K;<45-54>;8,342214647
209;K;<45-54>;3,875870257
3217;K;<45-54>;5,63395832
2404;K;<45-54>;13,92792638
2807;K;<45-54>;10,04869128
1418;K;<45-54>;20,60031534
1412;K;<45-54>;16,39437899
215;K;<45-54>;7,201329859
214;K;<45-54>;10,65378557
1861;K;<45-54>;4,819266747
1402;K;<45-54>;9,561876752
2605;K;<45-54>;8,933425361
2208;K;<45-54>;6,269730454
2602;K;<45-54>;8,704496523
1021;K;<45-54>;2,67658789
411;K;<45-54>;3,686650582
1009;K;<45-54>;4,664962532
661;K;<45-54>;5,823574519
2607;K;<45-54>;13,84460494
2207;K;<45-54>;6,797511425
2816;K;<45-54>;6,114332278
2479;K;<45-54>;5,510488152
2810;K;<45-54>;5,865751864
1018;K;<45-54>;4,183656519
1001;K;<45-54>;11,87073547
1407;K;<45-54>;5,086077978
1604;K;<45-54>;7,299325086
1006;K;<45-54>;7,164346235
1605;K;<45-54>;7,836828735
3022;K;<45-54>;5,329567005
2009;K;<45-54>;2,023310384
1864;K;<45-54>;5,365110434
1408;K;<45-54>;12,84059665
1818;K;<45-54>;9,77021746
220;K;<45-54>;7,464929714
410;K;<45-54>;9,557410675
804;K;<45-54>;9,284261738
2415;K;<45-54>;20,01297286
3212;K;<45-54>;4,229621241
1213;K;<45-54>;17,38420852
1863;K;<45-54>;23,90347233
2478;K;<45-54>;23,46255719
2202;K;<45-54>;7,733082391
409;K;<45-54>;4,310260348
1262;K;<45-54>;12,50782402
3214;K;<45-54>;13,10666188
413;K;<45-54>;4,67325896
226;K;<45-54>;4,716760855
213;K;<45-54>;3,979099036
3218;K;<45-54>;4,038452782
3030;K;<45-54>;7,336923307
402;K;<45-54>;9,252993666
3213;K;<45-54>;4,975764111
1420;K;<45-54>;9,45177997
862;K;<45-54>;16,59308872
1016;K;<45-54>;13,63481359
208;K;<45-54>;18,95596613
2215;K;<45-54>;21,29592796
3211;K;<45-54>;7,814439022
1014;K;<45-54>;12,4113655
3020;K;<45-54>;5,686476281
3203;K;<45-54>;6,047242034
3012;K;<45-54>;8,787542966
664;K;<45-54>;8,8945595
1414;K;<45-54>;6,960446413
1203;K;<45-54>;15,32531949
1417;K;<45-54>;11,55245578
3005;K;<45-54>;5,020767895
2413;K;<45-54>;16,21038894
2407;K;<45-54>;7,72613577
2005;K;<45-54>;5,057189545
2609;K;<45-54>;9,57124843
1610;K;<45-54>;5,276443745
3206;K;<45-54>;10,65132682
3025;K;<45-54>;6,042064914
211;K;<45-54>;14,24608292
201;K;<45-54>;8,62178178
2803;K;<45-54>;6,653422531
3202;K;<45-54>;4,177452913
1406;K;<45-54>;8,81790291
3028;K;<45-54>;6,106824109
3009;K;<45-54>;9,750457139
1212;K;<45-54>;12,19962839
810;K;<45-54>;9,766869443
2203;K;<45-54>;6,326361098
3061;K;<45-54>;13,44984857
3024;K;<45-54>;8,22653208
614;K;<45-54>;11,25673655
2406;K;<45-54>;7,772710589
1427;K;<45-54>;5,242943311
3216;K;<45-54>;4,817585582
2472;K;<45-54>;15,73127536
1413;K;<45-54>;6,16604608
802;K;<45-54>;7,171293111
3023;K;<45-54>;6,241510963
2815;K;<45-54>;10,81826778
3017;K;<45-54>;17,84323278
3019;K;<45-54>;14,81140401
2412;K;<45-54>;6,890965942
2808;K;<45-54>;5,706683315
219;K;<45-54>;18,66609734
3207;K;<45-54>;4,414592046
3011;K;<45-54>;9,155047853
2061;K;<45-54>;35,88743069
3002;K;<45-54>;8,438639666
1208;K;<45-54>;3,980030117
1063;K;<45-54>;6,568388736
2263;K;<45-54>;13,9266815
1008;K;<45-54>;14,1119976
604;K;<45-54>;5,900833083
3004;K;<45-54>;8,268017408
3208;K;<45-54>;9,342501423
1464;K;<45-54>;10,25689914
3026;K;<45-54>;6,105361999
1012;K;<45-54>;11,13362727
617;K;<45-54>;7,685406133
2211;K;<45-54>;9,41177988
2861;K;<45-54>;14,00804013
1661;K;<45-54>;13,34679202
1421;K;<45-54>;20,19770986
808;K;<45-54>;5,207486155
3001;K;<45-54>;4,253147132
1020;K;<45-54>;16,96244514
3201;K;<45-54>;4,858881705
2611;K;<45-54>;9,487793467
3014;K;<45-54>;3,603114524
1003;K;<45-54>;4,807528104
2477;K;<45-54>;17,30621783
3003;K;<45-54>;16,40764888
1463;K;<45-54>;28,08038722
